,zip,pois_total,total,proportion
0,60601,25,2509,0.9964129135113591
1,60602,6,1098,0.546448087431694
2,60603,16,1407,1.1371712864250179
3,60604,10,991,1.0090817356205852
4,60605,14,2142,0.6535947712418301
5,60606,12,2404,0.49916805324459235
6,60607,32,3646,0.877674163466813
7,60608,21,3693,0.5686433793663688
8,60609,7,2617,0.26748184944593045
9,60610,21,2783,0.7545813869924541
10,60611,75,4525,1.6574585635359116
11,60612,8,1924,0.4158004158004158
12,60613,17,3069,0.5539263603779733
13,60614,40,4972,0.8045052292839904
14,60615,9,1593,0.5649717514124294
15,60616,41,3417,1.199882938249927
16,60617,16,2531,0.632161201106282
17,60618,35,3950,0.8860759493670887
18,60619,13,2400,0.5416666666666667
19,60620,7,2348,0.2981260647359455
20,60621,1,987,0.10131712259371835
21,60622,29,4251,0.6821924253116913
22,60623,5,3425,0.145985401459854
23,60624,7,1388,0.5043227665706052
24,60625,12,3514,0.3414911781445646
25,60626,4,2153,0.18578727357176034
26,60628,15,2327,0.6446067898581865
27,60629,6,2463,0.24360535931790497
28,60630,10,1939,0.5157297576070139
29,60631,10,1071,0.9337068160597572
30,60632,11,3306,0.33272837265577737
31,60634,12,2676,0.4484304932735426
32,60636,5,1498,0.33377837116154874
33,60637,12,1585,0.7570977917981072
34,60638,4,1915,0.20887728459530025
35,60639,17,3433,0.49519370812700264
36,60640,25,3604,0.6936736958934517
37,60641,15,2523,0.5945303210463734
38,60642,10,1520,0.6578947368421052
39,60643,13,1931,0.6732263076126359
40,60644,6,1574,0.3811944091486658
41,60645,5,957,0.522466039707419
42,60646,4,1018,0.3929273084479371
43,60647,18,4605,0.39087947882736157
44,60649,6,1505,0.3986710963455149
45,60651,5,1694,0.29515938606847697
46,60652,4,1206,0.33167495854063017
47,60653,3,1177,0.2548853016142736
48,60654,35,3009,1.163177135260884
49,60655,3,598,0.5016722408026756
50,60656,1,592,0.16891891891891891
51,60657,37,4485,0.8249721293199554
52,60659,19,2860,0.6643356643356644
53,60660,10,2102,0.47573739295908657
54,60661,11,2074,0.5303760848601736
55,60666,17,2222,0.7650765076507651
56,60707,5,738,0.6775067750677507
57,60827,1,88,1.1363636363636365
